Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2022,45.80,45.88,44.24,45.11,736003,4070,33138315.00,528632,71.82,1.64,-0.69
June-2022,44.99,45.78,44.53,44.93,861584,3457,38839525.00,604659,70.18,1.25,-0.06
July-2022,45.06,46.11,44.08,45.33,714887,3765,32187215.00,542880,75.94,2.03,0.27
August-2022,45.40,46.29,44.82,45.04,675605,3693,30813301.00,500207,74.04,1.47,-0.36
September-2022,44.74,44.98,43.26,44.25,817364,4733,36112025.00,643046,78.67,1.72,-0.49
October-2022,44.52,45.75,43.73,44.46,613912,4462,27471229.00,447431,72.88,2.02,-0.06
November-2022,44.43,46.68,44.15,46.35,861405,3811,39408355.00,693964,80.56,2.53,1.92
December-2022,46.62,48.45,46.44,48.40,653875,4377,31160350.00,462778,70.77,2.01,1.78
January-2023,48.25,50.50,48.22,49.99,877091,4471,43512271.00,666988,76.05,2.28,1.74
February-2023,50.10,51.81,48.65,48.74,763851,19655,38171772.00,552577,72.34,3.16,-1.36
March-2023,48.87,51.43,48.30,51.02,581560,10034,29027477.00,451412,77.62,3.13,2.15
