Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2022,601.00,608.48,559.50,591.74,293325,6461,169126875.00,216442,73.79,48.98,-9.26
June-2022,593.98,599.00,542.20,563.96,209054,5056,117874272.00,166588,79.69,56.80,-30.02
July-2022,563.50,612.50,555.56,611.85,144301,3260,84166206.00,118843,82.36,56.94,48.35
August-2022,612.00,649.90,609.10,633.37,188711,4461,118760278.00,125392,66.45,40.80,21.37
September-2022,628.00,647.98,534.48,611.56,331511,5146,206568947.00,249334,75.21,113.50,-16.44
October-2022,610.90,648.70,601.00,646.54,111075,3429,69683706.00,72692,65.44,47.70,35.64
November-2022,649.00,675.00,644.25,672.39,290072,4213,191063931.00,214562,73.97,30.75,23.39
December-2022,674.70,679.95,636.02,650.20,137645,4752,91190949.00,96045,69.78,43.93,-24.50
January-2023,652.00,659.90,629.00,637.02,126860,4712,81512724.00,86408,68.11,30.90,-14.98
February-2023,639.00,660.74,630.00,632.14,313151,5004,201935863.00,228188,72.87,30.74,-6.86
March-2023,632.02,647.73,613.20,617.95,238425,4654,149823511.00,151530,63.55,34.53,-14.07
