Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2022,44.64,44.89,43.02,43.97,208713,2684,9196244.00,151926,72.79,1.87,-0.67
June-2022,43.92,44.87,43.32,43.84,163944,2524,7207858.00,116035,70.78,1.55,-0.08
July-2022,43.90,45.08,42.93,44.12,213856,2568,9380203.00,163871,76.63,2.15,0.22
August-2022,44.12,44.99,43.71,43.86,249295,2841,11085539.00,165421,66.36,1.28,-0.26
September-2022,43.59,43.92,42.21,43.15,299222,3642,12880649.00,217678,72.75,1.71,-0.44
October-2022,43.16,47.00,42.81,43.40,235760,2836,10299512.00,154128,65.37,4.19,0.24
November-2022,43.49,45.38,43.12,45.01,276688,2624,12337551.00,198363,71.69,2.26,1.52
December-2022,45.19,47.20,45.16,46.84,202448,2610,9393617.00,145947,72.09,2.04,1.65
January-2023,47.02,49.19,46.99,48.73,248003,4077,11999761.00,186195,75.08,2.20,1.71
February-2023,48.87,50.49,47.32,47.61,368617,4848,17943332.00,273531,74.20,3.17,-1.26
March-2023,48.19,49.91,46.93,49.80,106428,2343,5162234.00,69728,65.52,2.98,1.61
